Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
Fresh pacific ggs lane snapper 1-2 lb 80 lb box,PLS1232800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen  cut  bait  sardina gallera  s/t 30 lb box - g,PSG0081301,code128,,PE16,LB,LB,LB,30,33.12,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen co treated minutas caribbean yellowtail snapper 4-6 onz 20lb box,CYT4616200,code128,,PE16,LB,LB,LB,20,23.12,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen co treated minutas caribbean yellowtail snapper 6-8 onz 20lb box,CYT6816200,code128,,PE16,LB,LB,LB,20,23.12,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Ivp frozen co treated skinless fillets caribbean hog fish 8-10 onz 10lb box,CHF8110101,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen co treated minutas caribbean yellowtail snapper 8-10 onz 20lb box,CYT8116200,code128,,PE16,LB,LB,LB,20,23.12,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen co treated minutas caribbean yellowtail snapper 6-8 onz 10lb box,CYT6816100,code128,,PE16,LB,LB,LB,10,10,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen co treated minutas caribbean yellowtail snapper 8-10 onz 10lb box,CYT8116100,code128,,PE16,LB,LB,LB,10,11.36,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen co treated minutas caribbean yellowtail snapper 2-4 onz 10lb box,CYT2416100,code128,,PE16,LB,LB,LB,10,10,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh caribbean ggs yellowtail snapper 3/4-1 lb 30 lb box,CYT3132300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Frozen co treated minutas caribbean yellowtail snapper 4-6 onz 10lb box,CYT4616100,code128,,PE16,LB,LB,LB,10,11.36,10,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Iwp frozen tail caribbean lobster 5 onz 40 lb master box atlantic treasure (4x10),CLO0523401,code128,,LB12,LB,LB,LB,40,47.2,40,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Iwp frozen tail caribbean lobster 6 onz 40 lb master box atlantic treasure (4x10),CLO0623401,code128,,LB12,LB,LB,LB,40,47.2,40,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Iwp frozen tail caribbean lobster 7 onz 40 lb master box atlantic treasure (4x10),CLO0723401,code128,,LB12,LB,LB,LB,40,47.2,40,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Iwp frozen tail caribbean lobster 8 onz 40 lb master box atlantic treasure (4x10),CLO0823401,code128,,LB12,LB,LB,LB,40,47.2,40,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Frozen snapper heads and tails (10 lb. bulk bag) 50 lb. box,PDS0021501,code128,,PE16,LB,LB,LB,50,55.16,50,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh caribbean ggs yellowtail snapper 1-2 lb 80 lb box,CYT1232800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Fresh skinless fillets pacific black grouper 8-16 onz 30lb box,PBG8210301,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,Productos Terminados,,,,,,,,,
Iwp frozen tail caribbean lobster 9 onz 40 lb master box atlantic treasure (4x10),CLT0923401,code128,,LB12,LB,LB,LB,40,47.2,40,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Iwp frozen tail caribbean lobster 10-12 onz 40 lb master box atlantic treasure (4x10),CLT1023401,code128,,LB12,LB,LB,LB,40,47.2,40,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
Iwp frozen tail caribbean lobster 12-14 onz 40 lb master box atlantic treasure (4x10),CLT1223401,code128,,LB12,LB,LB,LB,40,47.2,40,SIN IVA,inclusive,no_image.png,,,,Productos Terminados,,,,,,,,,
