Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
FRESH PACIFIC GGS LANE SNAPPER 1-2 LB 80 LB BOX,PLS1232800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,0,0,,,,,,,,
Frozen  Cut  Bait  Sardina Gallera  S/T 30 LB BOX - G,PSG0081301,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,33.12,,,,,,,,
FROZEN CO TREATED MINUTAS CARIBBEAN YELLOWTAIL SNAPPER 4-6 ONZ 20LB BOX,CYT4616200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,23.12,,,,,,,,
FROZEN CO TREATED MINUTAS CARIBBEAN YELLOWTAIL SNAPPER 6-8 ONZ 20LB BOX,CYT6816200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,23.12,,,,,,,,
IVP FROZEN CO TREATED SKINLESS FILLETS CARIBBEAN HOG FISH 8-10 ONZ 10LB BOX,CHF8110101,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
FROZEN CO TREATED MINUTAS CARIBBEAN YELLOWTAIL SNAPPER 8-10 ONZ 20LB BOX,CYT8116200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,23.12,,,,,,,,
FROZEN CO TREATED MINUTAS CARIBBEAN YELLOWTAIL SNAPPER 6-8 ONZ 10LB BOX,CYT6816100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,10,,,,,,,,
FROZEN CO TREATED MINUTAS CARIBBEAN YELLOWTAIL SNAPPER 8-10 ONZ 10LB BOX,CYT8116100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
FROZEN CO TREATED MINUTAS CARIBBEAN YELLOWTAIL SNAPPER 2-4 ONZ 10LB BOX,CYT2416100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,10,,,,,,,,
FRESH CARIBBEAN GGS YELLOWTAIL SNAPPER 3/4-1 LB 30 LB BOX,CYT3132300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,0,0,,,,,,,,
FROZEN CO TREATED MINUTAS CARIBBEAN YELLOWTAIL SNAPPER 4-6 ONZ 10LB BOX,CYT4616100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
IWP Frozen Tail Caribbean Lobster 5 Onz 40 Lb Master Box Atlantic Treasure (4x10),CLO0523401,code128,,LB12,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,,,,40,47.2,,,,,,,,
IWP Frozen Tail Caribbean Lobster 6 Onz 40 Lb Master Box Atlantic Treasure (4x10),CLO0623401,code128,,LB12,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,,,,40,47.2,,,,,,,,
IWP Frozen Tail Caribbean Lobster 7 Onz 40 Lb Master Box Atlantic Treasure (4x10),CLO0723401,code128,,LB12,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,,,,40,47.2,,,,,,,,
IWP Frozen Tail Caribbean Lobster 8 Onz 40 Lb Master Box Atlantic Treasure (4x10),CLO0823401,code128,,LB12,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,,,,40,47.2,,,,,,,,
Frozen Snapper Heads and Tails (10 lb. Bulk Bag) 50 lb. box,PDS0021501,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,50,55.16,,,,,,,,
FRESH CARIBBEAN GGS YELLOWTAIL SNAPPER 1-2 LB 80 LB BOX,CYT1232800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,0,0,,,,,,,,
FRESH SKINLESS FILLETS PACIFIC BLACK GROUPER 8-16 ONZ 30LB BOX,PBG8210301,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,0,0,,,,,,,,
IWP Frozen Tail Caribbean Lobster 9 Onz 40 Lb Master Box Atlantic Treasure (4x10),CLT0923401,code128,,LB12,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,,,,40,47.2,,,,,,,,
IWP Frozen Tail Caribbean Lobster 10-12 Onz 40 Lb Master Box Atlantic Treasure (4x10),CLT1023401,code128,,LB12,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,,,,40,47.2,,,,,,,,
IWP Frozen Tail Caribbean Lobster 12-14 Onz 40 Lb Master Box Atlantic Treasure (4x10),CLT1223401,code128,,LB12,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,,,,40,47.2,,,,,,,,
