Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
PCO6807300,1,10,,,202308102763,10/8/2025 12:00:00 AM
CBF1001300,1,30,,,202308172766,17/8/2025 12:00:00 AM
OWH4521015,1,150,,,202308212773,21/8/2025 12:00:00 AM
PCO4611150,1,17.5,,,202308222775,22/8/2025 12:00:00 AM
PRO1210300,1,120,,,202309122778,12/9/2025 12:00:00 AM
CTB0011200,1,200,,,202310102780,10/10/2025 12:00:00 AM
CTBT0011200,1,100,,,202310102780,10/10/2025 12:00:00 AM
ORE098200,1,520,,,202310102781,10/10/2025 12:00:00 AM
CRA0014200,1,80,,,202310102782,10/10/2025 12:00:00 AM
PMM0443100,1,140,,,202310102783,10/10/2025 12:00:00 AM
PMM0643100,1,1190,,,202310102783,10/10/2025 12:00:00 AM
PMM0843100,1,980,,,202310102783,10/10/2025 12:00:00 AM
PMM2448100,1,280,,,202310102783,10/10/2025 12:00:00 AM
CLO0723050,1,25,,,202310102784,10/10/2025 12:00:00 AM
CLO0823050,1,35,,,202310102784,10/10/2025 12:00:00 AM
CLO1223050,1,20,,,202310102784,10/10/2025 12:00:00 AM
CLO1623050,1,5,,,202310102784,10/10/2025 12:00:00 AM
CLO9223050,1,10,,,202310102784,10/10/2025 12:00:00 AM
CLO9223400,1,40,,,202310102784,10/10/2025 12:00:00 AM
CLT0550107,1,40,,,202310102784,10/10/2025 12:00:00 AM
CLT0650107,1,30,,,202310102784,10/10/2025 12:00:00 AM
CBG1314990,1,4530,,,202310112790,11/10/2025 12:00:00 AM
CBG3514990,1,120,,,202310112790,11/10/2025 12:00:00 AM
CBG5709500,1,150,,,202310112790,11/10/2025 12:00:00 AM
CHF1010101,1,110,,,202310112790,11/10/2025 12:00:00 AM
CHF4611100,1,280,,,202310112790,11/10/2025 12:00:00 AM
CHF6811100,1,110,,,202310112790,11/10/2025 12:00:00 AM
CHF8110101,1,50,,,202310112790,11/10/2025 12:00:00 AM
CQT1011100,1,180,,,202310112790,11/10/2025 12:00:00 AM
CQT4611100,1,740,,,202310112790,11/10/2025 12:00:00 AM
CQT6811100,1,410,,,202310112790,11/10/2025 12:00:00 AM
CQT8111100,1,200,,,202310112790,11/10/2025 12:00:00 AM
CRG1009100,1,400,,,202310112790,11/10/2025 12:00:00 AM
CRG1309300,1,1020,,,202310112790,11/10/2025 12:00:00 AM
CRG6109100,1,340,,,202310112790,11/10/2025 12:00:00 AM
CTR1011100,1,120,,,202310112790,11/10/2025 12:00:00 AM
CTR1309300,1,150,,,202310112790,11/10/2025 12:00:00 AM
CTR4609100,1,230,,,202310112790,11/10/2025 12:00:00 AM
CTR6809100,1,70,,,202310112790,11/10/2025 12:00:00 AM
CTR8109100,1,130,,,202310112790,11/10/2025 12:00:00 AM
CYE1309200,1,120,,,202310112790,11/10/2025 12:00:00 AM
PBG1009100,1,2190,,,202310112790,11/10/2025 12:00:00 AM
PBG1309300,1,1260,,,202310112790,11/10/2025 12:00:00 AM
PBG3509300,1,360,,,202310112790,11/10/2025 12:00:00 AM
PBG5709500,1,200,,,202310112790,11/10/2025 12:00:00 AM
PBG6109100,1,4220,,,202310112790,11/10/2025 12:00:00 AM
PBG7909500,1,200,,,202310112790,11/10/2025 12:00:00 AM
PBG9109500,1,100,,,202310112790,11/10/2025 12:00:00 AM
PLS1206100,1,730,,,202310112790,11/10/2025 12:00:00 AM
PLS4610100,1,280,,,202310112790,11/10/2025 12:00:00 AM
PLS6810100,1,520,,,202310112790,11/10/2025 12:00:00 AM
PPF1009100,1,190,,,202310112790,11/10/2025 12:00:00 AM
PPF1309300,1,330,,,202310112790,11/10/2025 12:00:00 AM
PPF6809100,1,110,,,202310112790,11/10/2025 12:00:00 AM
PPF8109100,1,110,,,202310112790,11/10/2025 12:00:00 AM
CLO1223400,1,160,,,202310112792,11/10/2025 12:00:00 AM
CLO9223400,1,200,,,202310112792,11/10/2025 12:00:00 AM
CLT0550107,1,290,,,202310112792,11/10/2025 12:00:00 AM
CLT0650107,1,1090,,,202310112792,11/10/2025 12:00:00 AM
PLO0323100,1,550,,,202310112793,11/10/2025 12:00:00 AM
PLO0423100,1,330,,,202310112793,11/10/2025 12:00:00 AM
PLO0523100,1,200,,,202310112793,11/10/2025 12:00:00 AM
PLO0623100,1,120,,,202310112793,11/10/2025 12:00:00 AM
PMM0443100,1,720,,,202310112794,11/10/2025 12:00:00 AM
PMM0643100,1,370,,,202310112794,11/10/2025 12:00:00 AM
PMM0843100,1,370,,,202310112794,11/10/2025 12:00:00 AM
PMM1344101,1,100,,,202310112794,11/10/2025 12:00:00 AM
PMM2448100,1,70,,,202310112794,11/10/2025 12:00:00 AM
PMM5144101,1,110,,,202310112794,11/10/2025 12:00:00 AM
CCL0047100,1,13930,,,202310112795,11/10/2025 12:00:00 AM
CLO0723050,1,35,,,202310112796,11/10/2025 12:00:00 AM
CLO0723400,1,160,,,202310112796,11/10/2025 12:00:00 AM
CLO0823050,1,15,,,202310112796,11/10/2025 12:00:00 AM
CLO0823400,1,160,,,202310112796,11/10/2025 12:00:00 AM
CLO1223050,1,25,,,202310112796,11/10/2025 12:00:00 AM
CLO1223400,1,40,,,202310112796,11/10/2025 12:00:00 AM
CLO1623050,1,35,,,202310112796,11/10/2025 12:00:00 AM
CLO9223050,1,5,,,202310112796,11/10/2025 12:00:00 AM
CLO9223400,1,280,,,202310112796,11/10/2025 12:00:00 AM
CLT0550107,1,290,,,202310112796,11/10/2025 12:00:00 AM
CLT0650107,1,240,,,202310112796,11/10/2025 12:00:00 AM
CLO0723050,1,35,,,202310112797,11/10/2025 12:00:00 AM
CLO0723400,1,80,,,202310112797,11/10/2025 12:00:00 AM
CLO0823050,1,25,,,202310112797,11/10/2025 12:00:00 AM
CLO0823400,1,120,,,202310112797,11/10/2025 12:00:00 AM
CLO1223400,1,80,,,202310112797,11/10/2025 12:00:00 AM
CLO1623050,1,20,,,202310112797,11/10/2025 12:00:00 AM
CLO9223050,1,20,,,202310112797,11/10/2025 12:00:00 AM
CLO9223400,1,200,,,202310112797,11/10/2025 12:00:00 AM
CLT0550107,1,80,,,202310112797,11/10/2025 12:00:00 AM
CLT0650107,1,140,,,202310112797,11/10/2025 12:00:00 AM
PSS1750010,1,485,,,202310112798,11/10/2025 12:00:00 AM
PRO2421300,1,750,,,202310112800,11/10/2025 12:00:00 AM
PRO4621500,1,450,,,202310112800,11/10/2025 12:00:00 AM
PDS0052201,1,1780,,,202310122801,12/10/2025 12:00:00 AM
PMM0443100,1,940,,,202310122803,12/10/2025 12:00:00 AM
PMM0643100,1,1960,,,202310122803,12/10/2025 12:00:00 AM
PMM0843100,1,990,,,202310122803,12/10/2025 12:00:00 AM
PMM1344101,1,140,,,202310122803,12/10/2025 12:00:00 AM
PMM2448100,1,350,,,202310122803,12/10/2025 12:00:00 AM
PMM5144101,1,150,,,202310122803,12/10/2025 12:00:00 AM
CWHBCK18046,1,32,,,202310122804,12/10/2025 12:00:00 AM
OWH1618040,1,68,,,202310122804,12/10/2025 12:00:00 AM
OWH2218040,1,276,,,202310122804,12/10/2025 12:00:00 AM
OWH2318040,1,576,,,202310122804,12/10/2025 12:00:00 AM
OWH3318040,1,424,,,202310122804,12/10/2025 12:00:00 AM
OWH4518040,1,172,,,202310122804,12/10/2025 12:00:00 AM
CCH0037050,1,15,,,202310122805,12/10/2025 12:00:00 AM
CCH0037500,1,1250,,,202310122805,12/10/2025 12:00:00 AM
CMT0037050,1,20,,,202310122805,12/10/2025 12:00:00 AM
CHF1010101,1,10,,,202310122808,12/10/2025 12:00:00 AM
CHF4611100,1,10,,,202310122808,12/10/2025 12:00:00 AM
POS6849120,1,10,,,202310122809,12/10/2025 12:00:00 AM
PLS1009100,1,10,,,202310122810,12/10/2025 12:00:00 AM
PLS4609100,1,10,,,202310122810,12/10/2025 12:00:00 AM
PLS6809100,1,20,,,202310122810,12/10/2025 12:00:00 AM
PLS8109100,1,10,,,202310122810,12/10/2025 12:00:00 AM
CTR1011100,1,10,,,202310122811,12/10/2025 12:00:00 AM
CTR4609100,1,10,,,202310122811,12/10/2025 12:00:00 AM
CTR6809100,1,10,,,202310122811,12/10/2025 12:00:00 AM
PCO1009100,1,20,,,202310122812,12/10/2025 12:00:00 AM
PCO4609100,1,10,,,202310122812,12/10/2025 12:00:00 AM
PCO6807300,1,10,,,202310122812,12/10/2025 12:00:00 AM
PCO8107300,1,10,,,202310122812,12/10/2025 12:00:00 AM
CBG1314990,1,60,,,202310122813,12/10/2025 12:00:00 AM
PBG1009100,1,20,,,202310122813,12/10/2025 12:00:00 AM
PBG6143100,1,10,,,202310122813,12/10/2025 12:00:00 AM
PBG7909500,1,50,,,202310122813,12/10/2025 12:00:00 AM
PPF1009100,1,10,,,202310122814,12/10/2025 12:00:00 AM
PPF4609100,1,30,,,202310122814,12/10/2025 12:00:00 AM
CRG1009100,1,10,,,202310122815,12/10/2025 12:00:00 AM
CRG1309300,1,30,,,202310122815,12/10/2025 12:00:00 AM
CRG6109100,1,10,,,202310122815,12/10/2025 12:00:00 AM
CQT1011100,1,20,,,202310122816,12/10/2025 12:00:00 AM
CQT4611100,1,30,,,202310122816,12/10/2025 12:00:00 AM
CQT6811100,1,30,,,202310122816,12/10/2025 12:00:00 AM
CQT8111100,1,30,,,202310122816,12/10/2025 12:00:00 AM
